name,ring,quadrant,isNew,description
"Data Quality: Quality monitoring in New Relic","ADOPT","Languages & Frameworks","false","<p>We already use <a href=""https://newrelic.com/"">New Relic</a> to dashboard and alert system health, and it’s the natural choice for doing the same with data health. Some of our pipelines already send data metrics to New Relic in addition to storing them on S3, and we should make this the standard for pipelines going forward.</p>"
"localstack for integration testing with AWS","ADOPT","Languages & Frameworks","false","<p>Our historical approaches for components which interact with AWS has either been to mock the interactions or run against a real environment. The <a href=""https://github.com/localstack/localstack"">localstack</a> library enable us to write tests which are stronger than mock tests, and are not coupled to real environments.</p>"
"testcontainers with docker-compose for containerised tests","ADOPT","Languages & Frameworks","false","<p>We have used <a href=""https://www.testcontainers.org/"">Testcontainers</a> with docker-compose to simplify testing against containerised services and it has increased the test strength and reduced test complexity. Building on top of docker-compose also ensures that our test environment aligns with our command line environment.</p>"
"ETL: Prototyping ETL work","ADOPT","Techniques","false","<p>Historically large ETL jobs been slow to deliver because issues are often only found late in implementation where they are costly to correct. Recently we’ve accelerated delivery by using a slightly different process. We document the logical flow of the ETL on the wiki, a developer then implements a disposable prototype in Databricks, and then another developer implements the production job. This ensures that any issues are identified before delivery starts when they are cheap to resolve, and has the additional benefit that we have good documentation of the job for the future. We should continue using this pattern on new jobs.</p>"
"Feature Store","ADOPT","Techniques","false","<p>We built a <a href=""https://www.featurestore.org/"">Feature Store</a> for one of our recent products to host features for models to consume. This will reduce test/train skew and has accelerated Data Science delivery of new models into production. We should adopt this practice for future models we deliver, and start to build a library of useful features for Data Scientists to use.</p>"
"Incremental delivery","ADOPT","Techniques","false","<p>We tend to deliver new functionality to our customers in one large deliverable. Recently we’ve been thinking harder about how we can slice stories more thinly and deliver incrementally, and it’s helping us to reduce risk, provide value earlier, and deliver more reliably. We should keep pushing in this direction.</p>"
"Orchestration: Airflow","ADOPT","Tools","false","<p>We’re migrating our orchestration framework from AWS Data Pipelines to <a href=""https://airflow.apache.org/"">Apache Airflow</a>. This has moved from TRIAL to ADOPT because initial Airflow spikes were promising, and now that AWS Data Pipelines are end-of-life we have no option but to make the change.</p>"
"Data Quality: Great Expectations for data checks","TRIAL","Languages & Frameworks","false","<p>We need stronger data checks to ensure that we are alerted when our data deviates from what we expect. <a href=""https://greatexpectations.io/"">Great Expectations</a> is a Python library aimed at these types of data checks.</p> <p>This has evolved since we last looked at it and is increasingly gaining momentum. We should assess whether it is useful by running a cheap proof-of-concept trial.</p>"
"Data Quality: OpenLineage for data lineage tracking","TRIAL","Languages & Frameworks","false","<p>OpenLineage is an open standard for tracking data lineage in which tools send information to a central server when they use or generate data, and this usage information can track the lineage of a data set back and forward in time.</p> <p>As we focus more on data quality lineage tracking will become increasingly important, and OpenLineage could fill that gap. There are several interesting integrations and synergies with our tools (<a href=""https://openlineage.io/docs/integrations/spark/"">Spark</a>, <a href=""https://openlineage.io/docs/integrations/airflow/"">Airflow</a>, <a href=""https://openlineage.io/docs/integrations/great-expectations"">Great Expectations</a>, and <a href=""https://marquezproject.github.io/marquez/"">Marquez</a> for visualisation).</p> <p>We should consider a small proof-of-concept to trial the tools and assess usefulness.</p>"
"SonarQube as a useful quality metric","TRIAL","Languages & Frameworks","false","<p><a href=""https://www.sonarqube.org/"">SonarQube</a> is used as standard in our builds, but the results are mostly ignored because the configured profiles give very poor signal-to-noise. If we are being pushed to use this more in the future and results will be monitored by management then we should experiment with tweaking the configuration to see if we can make it useful for us.</p>"
